Fund,Object,Part I,Part XIII line 1,"Part XIII line 2, 3",Part XIII line 4,Part IX
31300,43214,C11,,,,
31300,43215,C11,,,,
31300,45303,U11,,,,
31400,41980,C11,,,,
31400,43202,C11,,,,
31400,43204,C11,,,,
31400,43210,C11,,,,
31400,43215,C11,,,,
31500,44306,B13,,,,
31600,41110,T06,,,,
31600,41113,T06,,,,
31600,41114,T06,,,,
31600,41500,U22,,,,
31600,41510,U22,,,,
31600,41532,U22,,,,
31600,41953,U97,,,,
31600,41980,C11,,,,
31600,43215,C11,,,,
31600,45304,C11,,,,
31700,41110,T06,,,,
31700,41500,U22,,,,
31700,41980,C11,,,,
31700,43202,C11,,,,
31700,43204,C11,,,,
31701,41110,T06,,,,
31701,41113,T06,,,,
31701,41114,T06,,,,
31701,41115,T06,,,,
31701,41280,C11,,,,
31701,41500,U22,,,,
31701,41510,U22,,,,
31701,41520,U22,,,,
31701,41532,U22,,,,
31701,41924,,,,,
31701,41953,U97,,,,
31701,41980,C11,,,,
31701,43215,C11,,,,
31701,45304,C11,,,,
31703,41500,U22,,,,
31703,41510,U22,,,,
31703,41520,U22,,,,
31703,43202,C11,,,,
31703,43204,C11,,,,
31900,41115,T99,,,,
31900,41500,U22,,,,
31900,41510,U22,,,,
31900,41520,U22,,,,
31900,41980,C11,,,,
31900,43214,C11,,,,
31900,43215,C11,,,,
31900,45110,21F,,,,
31900,45114,U97,,,,
31900,46100,C11,,,,
31900,46300,U97,,,,
32100,41500,U22,,,,
32100,41510,U22,,,,
32100,43209,C11,,,,
41000,41110,T06,,,,
41000,41113,T06,,,,
41000,41114,T06,,,,
41000,41115,T99,,,,
41000,41500,U22,,,,
41000,41510,U22,,,,
41000,41520,U22,,,,
41000,41532,U22,,,,
41000,44105,B13,,,,
41000,45114,U97,,,,
41000,45120,C11,,,,
41000,46400,U97,,,,
41200,41500,U22,,,,
41200,41510,U22,,,,
41800,41115,T99,,,,
41800,41500,U22,,,,
41800,41510,U22,,,,
42000,41500,U22,,,,
42000,41510,U22,,,,
42000,46003,U97,,,,
43000,41110,T06,,,,
43000,41113,T06,,,,
43000,41114,T06,,,,
43000,41500,U22,,,,
43000,41510,U22,,,,
43000,41520,U22,,,,
43000,43214,C11,,,,
43000,45114,U97,,,,
43000,45120,C11,,,,
60000,41701,A13,,,,
60000,41705,A13,,,,
60000,41910,A40,,,,
60000,41920,U50,,,,
60010,41920,U50,,,,
60050,41705,A13,,,,
60200,41701,A13,,,,
60200,41705,A13,,,,
60250,41910,A40,,,,
60300,41920,U50,,,,
27512,43202,C13,,,,
27528,43202,C13,,,,
25282,44301,B13,,,,
24194,44504,C20,,,,
27416,43204,C13,,,,
27540,43202,C13,,,,
25205,43214,B13,,,,
27533,43202,C13,,,,
27901,43204,C13,,,,
27583,43204,C13,,,,
27570,43204,C13,,,,
27523,43202,C13,,,,
28151,43203,C13,,,,
24119,44504,C26,,,,
21100,41980,C10,,,,
27536,43202,C13,,,,
25225,44301,B13,,,,
24196,44504,C20,,,,
27906,43204,C13,,,,
27583,41980,C13,,,,
27589,43202,C13,,,,
25279,44301,B13,,,,
27588,43204,C13,,,,
27575,43204,C13,,,,
27551,43202,C13,,,,
25278,44301,B13,,,,
27503,43202,C13,,,,
25211,41980,B13,,,,
27572,43204,C13,,,,
27518,43202,C13,,,,
31701,43214,C11,,,,
27515,43202,C13,,,,
27590,43204,C13,,,,
25146,43214,B13,,,,
28102,43203,C13,,,,
28221,41980,C13,,,,
27571,43204,C13,,,,
27589,43204,C13,,,,
27901,41980,C13,,,,
27568,43202,C13,,,,
27413,43202,C13,,,,
27554,43202,C13,,,,
24123,44504,C20,,,,
27502,41980,C13,,,,
27519,43202,C13,,,,
27574,43202,C13,,,,
25171,41980,B13,,,,
27575,41980,C13,,,,
27906,41980,C13,,,,
28224,43203,C13,,,,
24198,44500,C20,,,,
27591,43202,C13,,,,
27534,43202,C13,,,,
28225,43203,C13,,,,
27580,43202,C13,,,,
24197,44500,C20,,,,
27416,41980,C13,,,,
27589,41980,C13,,,,
27548,43202,C13,,,,
31900,41953,U97,,,,
27501,43202,C13,,,,
27413,43204,C13,,,,
27584,41980,C13,,,,
29128,41920,U50,,,,
31200,46300,U97,,,,
28101,43203,C13,,,,
31100,46300,U97,,,,
25266,44301,B13,,,,
28210,43214,C13,,,,
31703,41980,C11,,,,
24183,41924,,,,,
25281,43203,C13,,,,
24198,41924,,,,,
27536,43204,C13,,,,
25171,43214,B13,,,,
27405,41980,C13,,,,
31500,41510,U22,,,,
31600,41280,C11,,,,
15200,41980,U97,,,,
27202,41980,C13,,,,
27400,41980,C13,,,,
60000,41953,U50,,,,
60000,41510,U22,,,,
24106,44205,U97,,,,
27101,41953,C13,,,,
13000,43214,C12,,,,
27101,41910,C13,,,,
11000,41530,U22,,,,
41000,41280,U97,,,,
13000,43210,C12,,,,
15100,41540,U22,,,,
25147,46300,U97,,,,
31701,46400,U97,,,,
27101,41922,C13,,,,
